"prompt","completion"
"Fetch majority of onions","{'type':'command','expressions':[['|exists x1 (onion(x1)).| / 2 + 1']],'commands':['robot(x0) & onion(x1) -> fetch(x0, x1).']}"
"Get the majority of bread slices","{'type':'command','expressions':[['|exists x1 (breadSlice(x1)).| / 2 + 1']],'commands':['robot(x0) & breadSlice(x1) -> fetch(x0, x1).']}"
"Bake the baking tray","{'type':'command','expressions':[['|exists x1 (bakingTray(x1)).| >= 1']],'commands':['robot(x0) & bakingTray(x1) & oven(x2) & kitchenCounter(x3) -> bake(x0, x1, x2, x3).']}"
"Please bake a baking tray in an oven","{'type':'command','expressions':[['|exists x1 (bakingTray(x1)).| >= 1','|exists x2 (oven(x2)).| >= 1']],'commands':['robot(x0) & bakingTray(x1) & oven(x2) & kitchenCounter(x3) -> bake(x0, x1, x2, x3).']}"
"Please cook a tray in an oven placing it afterwards on a kitchen counter","{'type':'command','expressions':[['|exists x1 (bakingTray(x1)).| >= 1','|exists x2 (oven(x2)).| >= 1','|exists x3 (kitchenCounter(x3)).| >= 1']],'commands':['robot(x0) & bakingTray(x1) & oven(x2) & kitchenCounter(x3) -> bake(x0, x1, x2, x3).']}"
"Bake a baking tray in Oven1","{'type':'command','expressions':[['|exists x1 (bakingTray(x1)).| >= 1']],'commands':['robot(x0) & bakingTray(x1) & kitchenCounter(x3) -> bake(x0, x1, Oven1, x3).']}"
"Bake a baking tray in oven Oven1","{'type':'command','expressions':[['|exists x1 (bakingTray(x1)).| >= 1']],'commands':['robot(x0) & bakingTray(x1) & oven(Oven1) & kitchenCounter(x3) -> bake(x0, x1, Oven1, x3).']}"
"Bake Tray1 in Oven1","{'type':'command','expressions':[[]],'commands':['robot(x0) & kitchenCounter(x3) -> bake(x0, Tray1, Oven1, x3).']}"
"Cook baking tray Tray1 in oven Oven1","{'type':'command','expressions':[[]],'commands':['robot(x0) & bakingTray(Tray1) & oven(Oven1) & kitchenCounter(x3) -> bake(x0, Tray1, Oven1, x3).']}"
"Now bake baking tray Tray1 in Oven1","{'type':'command','expressions':[[]],'commands':['robot(x0) & bakingTray(Tray1) & kitchenCounter(x3) -> bake(x0, Tray1, Oven1, x3).']}"
"Could you bake baking tray Tray1, please?","{'type':'command','expressions':[[]],'commands':['robot(x0) & bakingTray(Tray1) & oven(x2) & kitchenCounter(x3) -> bake(x0, Tray1, x2, x3).']}"
"Bake baking tray Tray1 in an oven","{'type':'command','expressions':[['|exists x2 (oven(x2)).| >= 1']],'commands':['robot(x0) & bakingTray(Tray1) & oven(x2) & kitchenCounter(x3) -> bake(x0, Tray1, x2, x3).']}"
"Bake a large bowl","{'type':'command','expressions':[['|exists x1 (largeBowl(x1)).| >= 1']],'commands':['robot(x0) & largeBowl(x1) & oven(x2) & kitchenCounter(x3) -> bake(x0, x1, x2, x3).']}"
"Bake baking tray Tray1","{'type':'command','expressions':[[]],'commands':['robot(x0) & bakingTray(Tray1) & oven(x2) & kitchenCounter(x3) -> bake(x0, Tray1, x2, x3).']}"
"Cook tray Tray1","{'type':'command','expressions':[[]],'commands':['robot(x0) & bakingTray(Tray1) & oven(x2) & kitchenCounter(x3) -> bake(x0, Tray1, x2, x3).']}"
"Bake Tray1","{'type':'command','expressions':[[]],'commands':['robot(x0) & oven(x2) & kitchenCounter(x3) -> bake(x0, Tray1, x2, x3).']}"
"Bake Tray1 in an oven","{'type':'command','expressions':[['|exists x2 (oven(x2)).| >= 1']],'commands':['robot(x0) & oven(x2) & kitchenCounter(x3) -> bake(x0, Tray1, x2, x3).']}"
"Bake BakingTray1","{'type':'command','expressions':[[]],'commands':['robot(x0) & oven(x2) & kitchenCounter(x3) -> bake(x0, BakingTray1, x2, x3).']}"
"cook bt1","{'type':'command','expressions':[[]],'commands':['robot(x0) & oven(x2) & kitchenCounter(x3) -> bake(x0, Bt1, x2, x3).']}"
"cook bakingTray1 in oven2","{'type':'command','expressions':[[]],'commands':['robot(x0) & kitchenCounter(x3) -> bake(x0, BakingTray1, Oven2, x3).']}"
"Cook tray BakingTray1","{'type':'command','expressions':[[]],'commands':['robot(x0) & bakingTray(BakingTray1) & oven(x2) & kitchenCounter(x3) -> bake(x0, BakingTray1, x2, x3).']}"
"Bake BakingTray1 and put it on Counter2","{'type':'command','expressions':[[]],'commands':['robot(x0) & oven(x2) -> bake(x0, BakingTray1, x2, Counter2).']}"
"Bake tray1 and put it on a kitchen counter","{'type':'command','expressions':[['|exists x3 (kitchenCounter(x3)).| >= 1']],'commands':['robot(x0) & oven(x2) -> bake(x0, Tray1, x2, x3).']}"
"Cook tray BakingTray1 and put it on kitchen counter Counter2","{'type':'command','expressions':[[]],'commands':['robot(x0) & bakingTray(BakingTray1) & oven(x2) & kitchenCounter(Counter2) -> bake(x0, BakingTray1, x2, Counter2).']}"
"Bake BakingTray1 and LargeBowl1","{'type':'command','expressions':[[],[]],'commands':['robot(x0) & oven(x2) & kitchenCounter(x3) -> bake(x0, BakingTray1, x2, x3).','robot(x0) & oven(x2) & kitchenCounter(x3) -> bake(x0, LargeBowl1, x2, x3).']}"
"Bake BakingTray1 and LargeBowl1 in oven Oven1","{'type':'command','expressions':[[],[]],'commands':['robot(x0) & oven(Oven1) & kitchenCounter(x3) -> bake(x0, BakingTray1, Oven1, x3).','robot(x0) & oven(Oven1) & kitchenCounter(x3) -> bake(x0, LargeBowl1, Oven1, x3).']}"
"Bake BT1 in oven Oven1 and LB1 in oven Oven2","{'type':'command','expressions':[[],[]],'commands':['robot(x0) & oven(Oven1) & kitchenCounter(x3) -> bake(x0, BT1, Oven1, x3).','robot(x0) & oven(Oven2) & kitchenCounter(x3) -> bake(x0, LB1, Oven2, x3).']}"
"Bake BakingTray1 in Oven1 and LargeBowl1 in Oven2","{'type':'command','expressions':[[],[]],'commands':['robot(x0) & kitchenCounter(x3) -> bake(x0, BakingTray1, Oven1, x3).','robot(x0) & kitchenCounter(x3) -> bake(x0, LargeBowl1, Oven2, x3).']}"
"Bake BakingTray1 and LargeBowl1 in Oven1","{'type':'command','expressions':[[],[]],'commands':['robot(x0) & kitchenCounter(x3) -> bake(x0, BakingTray1, Oven1, x3).','robot(x0) & kitchenCounter(x3) -> bake(x0, LargeBowl1, Oven1, x3).']}"
"Bake BakingTray1, BakingTray2 and LargeBowl1","{'type':'command','expressions':[[],[],[]],'commands':['robot(x0) & oven(x2) & kitchenCounter(x3) -> bake(x0, BakingTray1, x2, x3).','robot(x0) & oven(x2) & kitchenCounter(x3) -> bake(x0, BakingTray2, x2, x3).','robot(x0) & oven(x2) & kitchenCounter(x3) -> bake(x0, LargeBowl1, x2, x3).']}"
"Bake 2 baking trays","{'type':'command','expressions':[['|exists x1 (bakingTray(x1)).| >= 2']],'commands':['robot(x0) & bakingTray(x1) & oven(x2) & kitchenCounter(x3) -> bake(x0, x1, x2, x3).']}"
"Cook three baking trays","{'type':'command','expressions':[['|exists x1 (bakingTray(x1)).| >= 3']],'commands':['robot(x0) & bakingTray(x1) & oven(x2) & kitchenCounter(x3) -> bake(x0, x1, x2, x3).']}"
"Put the large bowl in the oven","{'type':'command','expressions':[['|exists x1 (largeBowl(x1)).| >= 1','|exists x2 (oven(x2)).| >= 1']],'commands':['robot(x0) & largeBowl(x1) & oven(x2) & kitchenCounter(x3) -> bake(x0, x1, x2, x3).']}"
"Bake 4 baking trays","{'type':'command','expressions':[['|exists x1 (bakingTray(x1)).| >= 4']],'commands':['robot(x0) & bakingTray(x1) & oven(x2) & kitchenCounter(x3) -> bake(x0, x1, x2, x3).']}"
"Bake many baking trays","{'type':'command','expressions':[['|exists x1 (bakingTray(x1)).| >= 10']],'commands':['robot(x0) & bakingTray(x1) & oven(x2) & kitchenCounter(x3) -> bake(x0, x1, x2, x3).']}"
"Cook several trays","{'type':'command','expressions':[['|exists x1 (bakingTray(x1)).| >= 5']],'commands':['robot(x0) & bakingTray(x1) & oven(x2) & kitchenCounter(x3) -> bake(x0, x1, x2, x3).']}"
"Cook several trays in Oven1","{'type':'command','expressions':[['|exists x1 (bakingTray(x1)).| >= 5']],'commands':['robot(x0) & bakingTray(x1) & kitchenCounter(x3) -> bake(x0, x1, Oven1, x3).']}"
"Cook a few baking trays in oven Oven1","{'type':'command','expressions':[['|exists x1 (bakingTray(x1)).| >= 3']],'commands':['robot(x0) & bakingTray(x1) & oven(Oven1) & kitchenCounter(x3) -> bake(x0, x1, Oven1, x3).']}"
"Cut an onion","{'type':'command','expressions':[['|exists x1 (onion(x1)).| >= 1']],'commands':['robot(x0) & onion(x1) & cuttingTool(x2) -> cut(x0, x1, x2).']}"
"Chope half a dozen onions","{'type':'command','expressions':[['|exists x1 (onion(x1)).| >= 6']],'commands':['robot(x0) & onion(x1) & cuttingTool(x2) -> cut(x0, x1, x2).']}"
"Please go and cut some onions","{'type':'command','expressions':[['|exists x1 (onion(x1)).| >= 4']],'commands':['robot(x0) & onion(x1) & cuttingTool(x2) -> cut(x0, x1, x2).']}"
"Cut several broccoli","{'type':'command','expressions':[['|exists x1 (broccoli(x1)).| >= 5']],'commands':['robot(x0) & broccoli(x1) & cuttingTool(x2) -> cut(x0, x1, x2).']}"
"Cut some broccoli","{'type':'command','expressions':[['|exists x1 (broccoli(x1)).| >= 4']],'commands':['robot(x0) & broccoli(x1) & cuttingTool(x2) -> cut(x0, x1, x2).']}"
"Chope 7 onions","{'type':'command','expressions':[['|exists x1 (onion(x1)).| >= 7']],'commands':['robot(x0) & onion(x1) & cuttingTool(x2) -> cut(x0, x1, x2).']}"
"Chope 5 onions with a knife","{'type':'command','expressions':[['|exists x1 (onion(x1)).| >= 5','|exists x2 (cookingKnife(x2)).| >= 1']],'commands':['robot(x0) & onion(x1) & cookingKnife(x2) -> cut(x0, x1, x2).']}"
"Chope many apples","{'type':'command','expressions':[['|exists x1 (apple(x1)).| >= 10']],'commands':['robot(x0) & apple(x1) & cuttingTool(x2) -> cut(x0, x1, x2).']}"
"Cut many apples with any cutting tool","{'type':'command','expressions':[['|exists x1 (apple(x1)).| >= 10','|exists x2 (cuttingTool(x2)).| >= 1']],'commands':['robot(x0) & apple(x1) & cuttingTool(x2) -> cut(x0, x1, x2).']}"
"Chope few pears with a cutting tool","{'type':'command','expressions':[['|exists x1 (pear(x1)).| >= 2','|exists x2 (cuttingTool(x2)).| >= 1']],'commands':['robot(x0) & pear(x1) & cuttingTool(x2) -> cut(x0, x1, x2).']}"
"Cut 5 red chili peppers with a cooking knife","{'type':'command','expressions':[['|exists x1 (redChiliPepper(x1)).| >= 5','|exists x2 (cookingKnife(x2)).| >= 1']],'commands':['robot(x0) & redChiliPepper(x1) & cookingKnife(x2) -> cut(x0, x1, x2).']}"
"Cut several bananas with a knife","{'type':'command','expressions':[['|exists x1 (banana(x1)).| >= 5','|exists x2 (cookingKnife(x2)).| >= 1']],'commands':['robot(x0) & banana(x1) & cookingKnife(x2) -> cut(x0, x1, x2).']}"
"Cut 2 breads with cookingKnife1","{'type':'command','expressions':[['|exists x1 (bread(x1)).| >= 2']],'commands':['robot(x0) & bread(x1) -> cut(x0, x1, CookingKnife1).']}"
"Slice 3 peppers with CookingKnife15","{'type':'command','expressions':[['|exists x1 (pepper(x1)).| >= 2']],'commands':['robot(x0) & pepper(x1) -> cut(x0, x1, CookingKnife15).']}"
"Cut 2 breads using cutting tool cookingKnife1","{'type':'command','expressions':[['|exists x1 (bread(x1)).| >= 2']],'commands':['robot(x0) & bread(x1) & cuttingTool(CookingKnife1) -> cut(x0, x1, CookingKnife1).']}"
"Hi again, now cut many tomatoes using CookingKnife1","{'type':'command','expressions':[['|exists x1 (tomato(x1)).| >= 10']],'commands':['robot(x0) & tomato(x1) -> cut(x0, x1, CookingKnife1).']}"
"Next cut 1 mango using cooking knife Knife1","{'type':'command','expressions':[['|exists x1 (mango(x1)).| >= 1']],'commands':['robot(x0) & mango(x1) & cookingKnife(Knife1) -> cut(x0, x1, Knife1).']}"
"Please cut brownOnion1 with cookingKnife1","{'type':'command','expressions':[[]],'commands':['robot(x0) -> cut(x0, BrownOnion1, CookingKnife1).']}"
"Slice some bananas with a knife","{'type':'command','expressions':[['|exists x1 (banana(x1)).| >= 4','|exists x2 (cookingKnife(x2)).| >= 1']],'commands':['robot(x0) & banana(x1) & cookingKnife(x2) -> cut(x0, x1, x2).']}"
"Slice brownOnion1 with cookingKnife1","{'type':'command','expressions':[[]],'commands':['robot(x0) -> cut(x0, BrownOnion1, CookingKnife1).']}"
"Cut Onion1","{'type':'command','expressions':[[]],'commands':['robot(x0) & cuttingTool(x2) -> cut(x0, Onion1, x2).']}"
"Chope BrownOnion5","{'type':'command','expressions':[[]],'commands':['robot(x0) & cuttingTool(x2) -> cut(x0, BrownOnion5, x2).']}"
"Please cut redOnion12 now","{'type':'command','expressions':[[]],'commands':['robot(x0) & cuttingTool(x2) -> cut(x0, RedOnion12, x2).']}"
"Cut Onion1 and Onion2","{'type':'command','expressions':[[],[]],'commands':['robot(x0) & cuttingTool(x2) -> cut(x0, Onion1, x2).','robot(x0) & cuttingTool(x2) -> cut(x0, Onion2, x2).']}"
"Cut Onion1 and Onion2 with KnifeOne","{'type':'command','expressions':[[],[]],'commands':['robot(x0) -> cut(x0, Onion1, KnifeOne).','robot(x0) -> cut(x0, Onion2, KnifeOne).']}"
"Cut Onion1 and Onion2 with knife KnifeOne","{'type':'command','expressions':[[],[]],'commands':['robot(x0) & cookingKnife(KnifeOne) -> cut(x0, Onion1, KnifeOne).','robot(x0) & cookingKnife(KnifeOne) -> cut(x0, Onion2, KnifeOne).']}"
"Cut Onion1, RedOnion2 and BrownOnion1","{'type':'command','expressions':[[],[],[]],'commands':['robot(x0) & cuttingTool(x2) -> cut(x0, Onion1, x2).','robot(x0) & cuttingTool(x2) -> cut(x0, RedOnion2, x2).','robot(x0) & cuttingTool(x2) -> cut(x0, BrownOnion1, x2).']}"
"Chope onions o1 and o2","{'type':'command','expressions':[[],[]],'commands':['robot(x0) & onion(O1) & cuttingTool(x2) -> cut(x0, O1, x2).','robot(x0) & onion(O2) & cuttingTool(x2) -> cut(x0, O2, x2).']}"
"Cut all onions","{'type':'command','expressions':[['|exists x1 (onion(x1)).|']],'commands':['robot(x0) & onion(x1) & cuttingTool(x2) -> cut(x0, x1, x2).']}"
"Cut a couple of onions","{'type':'command','expressions':[['|exists x1 (onion(x1)).| >= 2']],'commands':['robot(x0) & onion(x1) & cuttingTool(x2) -> cut(x0, x1, x2).']}"
"Cut onion1 with any cutting tool","{'type':'command','expressions':[['|exists x2 (cuttingTool(x2)).| >= 1']],'commands':['robot(x0) & cuttingTool(x2) -> cut(x0, Onion1, x2).']}"
"Chope red onion Onion1","{'type':'command','expressions':[[]],'commands':['robot(x0) & redOnion(Onion1) & cuttingTool(x2) -> cut(x0, Onion1, x2).']}"
"Chope red chili pepper Pepper23","{'type':'command','expressions':[[]],'commands':['robot(x0) & redChiliPepper(Pepper23) & cuttingTool(x2) -> cut(x0, Pepper23, x2).']}"
"Cut sixteen carrots","{'type':'command','expressions':[['|exists x1 (carrot(x1)).| >= 16']],'commands':['robot(x0) & carrot(x1) & cuttingTool(x2) -> cut(x0, x1, x2).']}"
"Cut a dozen potatoes","{'type':'command','expressions':[['|exists x1 (potato(x1)).| >= 12']],'commands':['robot(x0) & potato(x1) & cuttingTool(x2) -> cut(x0, x1, x2).']}"
"Cut few green chili peppers","{'type':'command','expressions':[['|exists x1 (greenChiliPepper(x1)).| >= 2']],'commands':['robot(x0) & greenChiliPepper(x1) & cuttingTool(x2) -> cut(x0, x1, x2).']}"
"Cut a few red chili peppers","{'type':'command','expressions':[['|exists x1 (redChiliPepper(x1)).| >= 3']],'commands':['robot(x0) & redChiliPepper(x1) & cuttingTool(x2) -> cut(x0, x1, x2).']}"
"Use a knife to cut several green chili peppers","{'type':'command','expressions':[['|exists x1 (greenChiliPepper(x1)).| >= 5','|exists x2 (cookingKnife(x2)).| >= 1']],'commands':['robot(x0) & greenChiliPepper(x1) & cookingKnife(x2) -> cut(x0, x1, x2).']}"
"Line a baking sheet on a baking tray","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 1','|exists x2 (bakingTray(x2)).| >= 1']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(x2) -> line(x0, x1, x2).']}"
"Line the baking tray","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 1','|exists x2 (bakingTray(x2)).| >= 1']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(x2) -> line(x0, x1, x2).']}"
"Line both baking trays","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 2','|exists x2 (bakingTray(x2)).| >= 2']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(x2) -> line(x0, x1, x2).']}"
"Line a baking tray with paper","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 1','|exists x2 (bakingTray(x2)).| >= 1']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(x2) -> line(x0, x1, x2).']}"
"Line all trays","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).|','|exists x2 (bakingTray(x2)).|']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(x2) -> line(x0, x1, x2).']}"
"Line all baking trays","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).|','|exists x2 (bakingTray(x2)).|']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(x2) -> line(x0, x1, x2).']}"
"Line that baking tray","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 1','|exists x2 (bakingTray(x2)).| >= 1']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(x2) -> line(x0, x1, x2).']}"
"Line BakingTray1 with baking sheet","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 1']],'commands':['robot(x0) & bakingSheet(x1) -> line(x0, x1, BakingTray1).']}"
"Line tray Tray1 with baking paper","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 1']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(Tray1) -> line(x0, x1, Tray1).']}"
"Line tray BakingTray1 with paper","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 1']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(BakingTray1) -> line(x0, x1, BakingTray1).']}"
"Line BakingTray10","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 1']],'commands':['robot(x0) & bakingSheet(x1) -> line(x0, x1, BakingTray10).']}"
